link,current_price,old_price,avg_rating,cnt_reviews,title,author,ID товара,Издательство,Издательский бренд,Серия,Год издания,ISBN,Количество страниц,Размер,Тип обложки,Тираж,"Вес, г",Возрастные ограничения,Переводчик,Художник,Тип комикса,Разделы комикса
https://www.chitai-gorod.ru/product/vedma-3058828,367 ₽,471 ₽,5.0,2 оценки,Ведьма,Жюль Мишле,3058828,Эксмо,,Всемирная литература. Новое оформление,2024,978-5-04-206203-2,288,2.3x12.8x20.6,Твёрдый переплёт,2000,240,16+,,,,
https://www.chitai-gorod.ru/product/anya-s-ostrova-princa-eduarda-3051210,339 ₽,435 ₽,4.8,4 оценки,Аня с острова Принца Эдуарда,Люси Мод Монтгомери,3051210,Эксмо,,Белая птица,2024,978-5-04-203657-6,384,1.6x11.5x18,Мягкий переплёт,3000,190,16+,,,,
https://www.chitai-gorod.ru/product/lzhe-neron-ieffay-i-ego-doch-3041258,1011 ₽,1297 ₽,5.0,7 оценок,Лже-Нерон. Иеффай и его дочь,Лион Фейхтвангер,3041258,Иностранка,,Иностранная литература. Большие книги,2024,978-5-389-25438-1,640,3.2x14.8x21.7,Твёрдый переплёт,4000,730,16+,,,,
https://www.chitai-gorod.ru/product/uvazhaemyy-gospodin-durak-3037956,873 ₽,1120 ₽,4.6,18 оценок,Уважаемый господин дурак,Сюсаку Эндо,3037956,Эксмо,Inspiria,Loft. Сила духа Сюсаку Эндо,2024,978-5-04-196894-6,288,1.7x13x20.5,Твёрдый переплёт,3000,310,16+,,,,
https://www.chitai-gorod.ru/product/problema-aladdina-3031440,312 ₽,400 ₽,4.8,10 оценок,Проблема Аладдина,Эрнст Юнгер,3031440,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-161048-7,160,1x11.5x18,Мягкий переплёт,4000,110,16+,,,,
https://www.chitai-gorod.ru/product/grozovoy-pereval-2901761,284 ₽,365 ₽,4.2,72 оценки,Грозовой перевал,Эмили Джейн Бронте,2901761,Эксмо,,Pocket book,2023,978-5-04-163469-8,416,1.7x11.5x18,Мягкий переплёт,5000,200,16+,,,,
https://www.chitai-gorod.ru/product/dnevnik-doktora-finleya-2899724,965 ₽,1238 ₽,4.4,223 оценки,Дневник доктора Финлея,Арчибальд Кронин,2899724,Иностранка,,Иностранная литература. Большие книги,2023,978-5-389-19156-3,512,2.9x14.5x21.6,Твёрдый переплёт,3000,643,16+,,,,
https://www.chitai-gorod.ru/product/poezd-iz-venecii-2962416,284 ₽,365 ₽,4.2,27 оценок,Поезд из Венеции,Жорж Сименон,2962416,Азбука,,Азбука-классика (pocket-book),2022,978-5-389-22056-0,352,1.5x11.6x18,Мягкий переплёт,3000,170,16+,,,,
https://www.chitai-gorod.ru/product/zhemchuzhnaya-rubashka-kitayskie-novelly-3065152,965 ₽,1238 ₽,5.0,1 оценка,Жемчужная рубашка. Китайские новеллы,,3065152,Эксмо,,Магистраль. Азия,2024,978-5-04-206226-1,896,3.8x12.4x20,Мягкий переплёт,2000,700,16+,Вельгус Виктор Андреевич,,,
https://www.chitai-gorod.ru/product/missis-dellouey-na-mayak-3035342,735 ₽,943 ₽,4.7,7 оценок,Миссис Дэллоуэй. На маяк,Вирджиния Вулф,3035342,Эксмо,,Элегантная классика,2024,978-5-04-198785-5,368,2.3x14.3x21.7,Твёрдый переплёт,3000,420,16+,,,,
https://www.chitai-gorod.ru/product/vechera-na-hutore-bliz-dikanki-3016139,289 ₽,347 ₽,4.7,3 оценки,Вечера на хуторе близ Диканьки,Николай Гоголь,3016139,АСТ,Neoclassic,Лучшая мировая классика,2023,978-5-17-161167-5,256,1.9x12.8x20.6,Твёрдый переплёт,4000,230,12+,,,,
https://www.chitai-gorod.ru/product/rozhdestvenskie-povesti-2956732,284 ₽,365 ₽,4.0,71 оценка,Рождественские повести,Чарльз Диккенс,2956732,Азбука,,Азбука-классика (pocket-book),2022,978-5-389-21840-6,544,2.1x11.4x18,Мягкий переплёт,5000,260,12+,,,,
https://www.chitai-gorod.ru/product/hroniki-forsaytov-konec-glavy-na-forsaytskoy-birzhe-2951597,1241 ₽,1592 ₽,4.2,110 оценок,Хроники Форсайтов. Конец главы. На Форсайтской Бирже,Джон Голсуорси,2951597,Иностранка,,Иностранная литература. Большие книги,2022,978-5-389-21843-7,992,4.5x15x22,Твёрдый переплёт,5000,1060,16+,,,,
https://www.chitai-gorod.ru/product/povest-o-nastoyashchem-cheloveke-3035426,303 ₽,388 ₽,5.0,2 оценки,Повесть о настоящем человеке,Борис Полевой,3035426,АСТ,Neoclassic,Лучшая мировая классика,2025,978-5-17-164102-3,352,2.5x13.3x20.7,Твёрдый переплёт,3000,300,12+,,,,
https://www.chitai-gorod.ru/product/lebedinaya-pesn-pobezhdennye-roman-3028803,1471 ₽,1887 ₽,5.0,4 оценки,Лебединая песнь (Побежденные): Роман,Ирина Головкина,3028803,Омега-Л,,,2024,978-5-370-05408-2,992,5.5x14x21.5,,15000,890,16+,,,,
https://www.chitai-gorod.ru/product/serezha-3022711,299 ₽,359 ₽,5.0,14 оценок,Сережа,Вера Панова,3022711,АСТ,Neoclassic,Эксклюзив: Русская классика,2024,978-5-17-160331-1,288,2.3x11.5x18,Мягкий переплёт,4000,190,12+,,,,
https://www.chitai-gorod.ru/product/semya-vurdalaka-2913220,299 ₽,359 ₽,4.2,51 оценка,Семья вурдалака,Алексей Толстой,2913220,АСТ,Neoclassic,Эксклюзив: Русская классика,2024,978-5-17-147284-9,320,2.4x11.5x18,Мягкий переплёт,2000,209,12+,,,,
https://www.chitai-gorod.ru/product/zagadochnaya-istoriya-bendzhamina-battona-2841374,505 ₽,648 ₽,4.3,82 оценки,Загадочная история Бенджамина Баттона,Френсис Скотт Фицджеральд,2841374,Эксмо,,Яркие страницы,2024,978-5-04-118634-0,320,2x13.4x20.6,Твёрдый переплёт,3000,310,16+,,,,
https://www.chitai-gorod.ru/product/belyy-klyk-zov-predkov-2777348,303 ₽,388 ₽,4.3,42 оценки,Белый Клык. Зов предков,Джек Лондон,2777348,АСТ,Neoclassic,Лучшая мировая классика,2024,978-5-17-120423-5,416,2.8x13.4x20.7,Твёрдый переплёт,4000,319,12+,,,,
https://www.chitai-gorod.ru/product/dnevnik-pisatelya-1877-3016115,284 ₽,365 ₽,5.0,4 оценки,Дневник писателя (1877),Федор Достоевский,3016115,АСТ,Neoclassic,Эксклюзив: Русская классика,2023,978-5-17-159543-2,576,2.4x11.5x18.3,Мягкий переплёт,5000,290,12+,,,,
https://www.chitai-gorod.ru/product/udolfskie-tayny-2979881,395 ₽,506 ₽,4.4,34 оценки,Удольфские тайны,Анна Радклиф,2979881,Азбука,,Азбука-классика (pocket-book),2023,978-5-389-23028-6,832,3.5x11.5x18,Мягкий переплёт,3000,406,16+,,,,
https://www.chitai-gorod.ru/product/uzornyy-pokrov-2930618,625 ₽,801 ₽,4.1,146 оценок,Узорный покров,Уильям Сомерсет Моэм,2930618,АСТ,Neoclassic,Эксклюзивная классика. Лучшее,2023,978-5-17-149492-6,352,1.9x11.8x18.5,Твёрдый переплёт,3000,310,12+,,,,
https://www.chitai-gorod.ru/product/misticeskie-istorii-svatilise-3100574,283 ₽,403 ₽,5.0,1 оценка,Мистические истории. Святилище,,3100574,Азбука,,Азбука-классика (pocket-book),,978-5-389-26222-5,448,0x1.1x1.8,Мягкий переплёт,3000,500,16+,,,,
https://www.chitai-gorod.ru/product/zapiski-vracha-2942191,293 ₽,376 ₽,4.3,40 оценок,Записки врача,Викентий Вересаев,2942191,Эксмо,,Всемирная литература. Новое оформление,2025,978-5-04-173144-1,320,2.2x13.3x20.7,Твёрдый переплёт,2000,260,16+,,,,
https://www.chitai-gorod.ru/product/voyna-i-mir-v-2-h-knigah-komplekt-2401435,487 ₽,624 ₽,4.1,127 оценок,Война и мир (в 2-х книгах) (комплект),Лев Толстой,2401435,Азбука,,Мировая классика,2025,"978-5-389-07123-0 978-5-389-07125-4 978-5-389-07126-1 978-5-389-07123-0, 978-5-389-07125-4, 978-5-389-07126-1",1408,3.2x13x20.5,Твёрдый переплёт,10000,490,12+,,,,
https://www.chitai-gorod.ru/product/yaponskie-narodnye-skazki-3052933,1103 ₽,1415 ₽,,,Японские народные сказки,,3052933,Эксмо,,"Яркие страницы. Легенды, мифы и сказки народов мира",2024,978-5-04-203777-1,688,4x13x20.5,Твёрдый переплёт,3000,610,16+,Маркова Вера Николаевна,,,
https://www.chitai-gorod.ru/product/vechera-na-hutore-bliz-dikanki-2823259,459 ₽,589 ₽,4.3,59 оценок,Вечера на хуторе близ Диканьки,Николай Гоголь,2823259,Эксмо,,Яркие страницы,2024,978-5-04-117000-4,288,1.8x13.3x20.7,Твёрдый переплёт,3000,289,16+,,,,
https://www.chitai-gorod.ru/product/toshnota-stena-slova-stavok-bolshe-net-2781350,855 ₽,1096 ₽,4.1,104 оценки,Тошнота  Стена  Слова  Ставок больше нет,Жан Сартр,2781350,АСТ,Neoclassic,Библиотека Классики,2024,978-5-17-112661-2,608,3x13.2x20.6,Твёрдый переплёт,2000,550,16+,,,,
https://www.chitai-gorod.ru/product/car-ryba-2634393,1287 ₽,1651 ₽,4.5,53 оценки,Царь-рыба,Виктор Астафьев,2634393,Азбука,,Русская литература. Большие книги,2024,978-5-389-14230-5,912,3.9x15.1x21.6,Твёрдый переплёт,3000,920,18+,,,,
https://www.chitai-gorod.ru/product/car-ryba-2652641,321 ₽,412 ₽,4.0,32 оценки,Царь-рыба,Виктор Астафьев,2652641,АСТ,Neoclassic,Эксклюзив: Русская классика,2023,978-5-17-108118-8,544,2.1x11.5x18,Мягкий переплёт,3000,259,12+,,,,
https://www.chitai-gorod.ru/product/zavtrak-u-tiffani-2744190,643 ₽,825 ₽,3.9,87 оценок,Завтрак у Тиффани,Трумэн Капоте,2744190,Азбука,,Азбука-бестселлер,2022,978-5-389-16585-4,256,1.3x12x20.5,Твёрдый переплёт,4000,289,16+,"Голышев Виктор Петрович, Таск Сергей Эмильевич",,,
https://www.chitai-gorod.ru/product/tainstvennyy-portret-3075151,303 ₽,388 ₽,4.8,4 оценки,Таинственный портрет,Вашингтон Ирвинг,3075151,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-169885-0,352,2.7x11.5x18,Мягкий переплёт,4000,220,16+,,,,
https://www.chitai-gorod.ru/product/troecarstvie-komplekt-v-2-tomah-3050787,763 ₽,978 ₽,4.0,5 оценок,Троецарствие (Комплект в 2 томах),Ло Гуань-чжун,3050787,Азбука,,Азбука-классика (pocket-book),2024,978-5-389-25831-0,1760,6.7x11.5x18,Мягкий переплёт,4000,832,16+,,,,
